date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,sales tax collected,Marketplace Facilitator Tax,selling fees,fba fees,other transaction fees,other,total
"Nov 17, 2017 10:06:03 PM PST",6503168701,Order,114-3374037-5794618,LTDKSIRIUS-WHT,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [WHITE] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,ANTRIM,NH,03440-3607,20,0,0,0,0,0,-3,-2.88,0,0,14.12
"Nov 18, 2017 1:37:46 AM PST",6503168701,Order,112-4185025-2612268,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,FORT WORTH,TX,76137-3010,22,0,0,0,0,0,-3.3,-2.88,0,0,15.82
"Nov 18, 2017 2:00:36 PM PST",6503168701,Order,112-8233283-4630607,9K-VBPS-C0G0,"GMDdecals BONKERSFUNKYBLK Alice in Wonderland Quote Adhesive, Glossy Black",1,amazon.com,Amazon,ORANGE,TX,77632-6004,16,0,0,0,0,0,-2.4,-2.88,0,0,10.72
"Nov 18, 2017 2:52:57 PM PST",6503168701,Order,112-5681647-1517851,3PAK-BLK,Harry Potter Quote Series Quote 3 Pack Color Black,1,amazon.com,Amazon,SPRINGFIELD,VA,22150-2525,48,0,0,0,0,0,-7.2,-2.88,0,0,37.92
"Nov 18, 2017 3:57:55 PM PST",6503168701,Order,113-1914655-2167455,DMBLDR-BLK,"GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,amazon.com,Amazon,Newport News,VA,23602,18,0,0,0,0,0,-2.7,-2.88,0,0,12.42
"Nov 18, 2017 8:18:07 PM PST",6503168701,Order,112-2102971-2779469,PI-6U0R-KV33,GMDdecals Love and Coffee Inspired Quote Décor Wall Decal [BLACK]- 12 Inches x 24 Inches,1,amazon.com,Amazon,SONORA,CA,95370-8075,16,0,0,0,0,0,-2.4,-2.88,0,0,10.72
"Nov 18, 2017 8:19:55 PM PST",6503168701,Order,112-5344054-2631445,CUR&CURBLK,"Curiouser and Curiouser Alice In Wonderland Inspired Cheshire Cat Quote Vinyl Wall Decal [BLACK] by GMDdecals Size 24"" x 10"" Mad Hatter Storybook Déco",1,amazon.com,Amazon,EDGEWATER,MD,21037-4927,14,0,0,0,0,0,-2.1,-2.88,0,0,9.02
"Nov 18, 2017 8:21:54 PM PST",6503168701,Order,112-6401978-7435402,PI-6U0R-KV33,GMDdecals Love and Coffee Inspired Quote Décor Wall Decal [BLACK]- 12 Inches x 24 Inches,1,amazon.com,Amazon,ANDERSON,IN,46012-9780,16,0,0,0,0,0,-2.4,-2.88,0,0,10.72
"Nov 18, 2017 8:30:13 PM PST",6503168701,Order,113-9136140-4328217,VT-PC07-FY5R,"GMDdecals Love is the Anchor Quote Vinyl Inspiring Home Decor, Black/Turquoise",1,amazon.com,Amazon,PHOENIX,AZ,85022-4664,16,0,0,0,0,0,-2.4,-2.88,0,0,10.72
"Nov 18, 2017 9:49:36 PM PST",6503168701,Order,111-6646136-7432206,JAMES117-NVY,Good and Perfect Gift From Above James 1:17 Scripture Vinyl Wall Decal [Navy] Nursery Décor Baby Newborn Child Bedroom,1,amazon.com,Amazon,NAPERVILLE,IL,60564-1128,16,0,0,0,0,0,-2.4,-2.88,0,0,10.72
"Nov 19, 2017 12:34:25 AM PST",6503168701,Order,113-8781606-3001011,ALICEQUOTES-WHT,"Alice In Wonderland Story Book Quote Set Vinyl Stair or Wall Decals [WHITE] by GMDdecals 24"" x 2-4"" per quote Cheshire Mad Hatter Storybook Décor",1,amazon.com,Amazon,ORANGE,CA,92866-2554,38,0,0,0,0,0,-5.7,-2.88,0,0,29.42
"Nov 19, 2017 2:50:09 AM PST",6503168701,Order,112-7125536-8481001,ANYPOSGINNY-BLK,"Ginny Harry Potter Inspired Anything is Possible Snitch Quidditch Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 12"" Hogwarts Spell Wizard Storyboo",1,amazon.com,Amazon,SOUTHERN PINES,NC,28387-5047,16,0,0,0,0,0,-2.4,-2.39,0,0,11.21
"Nov 19, 2017 6:05:06 AM PST",6503168701,Transfer,,,To account ending with: 531,,,,,,,0,0,0,0,0,0,0,0,0,-570.5,-570.5
"Nov 19, 2017 8:36:55 AM PST",6503168701,Order,112-3617015-8512202,DMBLDR-BLK,"GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,amazon.com,Amazon,HOUSTON,TX,77096-6024,18,0,0,0,0,0,-2.7,-2.88,0,0,12.42
"Nov 19, 2017 9:26:34 AM PST",6503168701,Order,111-7376805-0900223,LOVECOFFEEES-BLK,"El amor y el café inspried Cita de decoración de la pared Decal [NEGRO] - 12inches x 24 pulgadas - Vinilo adhesivo brillante [3mil] Fácil aplicación,",1,amazon.com,Amazon,MIDDLETOWN,CT,06457-5707,16,0,0,0,0,0,-2.4,-2.88,0,0,10.72
"Nov 19, 2017 1:39:42 PM PST",6503168701,Order,114-0595951-5521030,WAKEUP-GRYYEL,GMDdecals Inspiring Wake up Every Morning Quote Bedroom Decor Wall Decal [Grey & Yellow]- 12 inches x 20 inches -Adhesive High Glossy Vinyl [3mil]Made,1,amazon.com,Amazon,NEW LENOX,IL,60451-1494,16,0,0,0,0,0,-2.4,-2.88,0,0,10.72
"Nov 19, 2017 4:58:50 PM PST",6503168701,Order,113-3743708-6436232,LOVEANCHOR-BLKNVY,Love Is the Anchor Quote [Black/Navy] Vinyl Wall Decal by GMDdecals 32 x 12 inch Love Nautical Anniversary Gift Bedroom Home Décor,1,amazon.com,Amazon,Palm Coast,Florida,32164,16,0,0,0,1.12,0,-2.4,-2.88,-0.03,0,11.81
"Nov 20, 2017 12:10:03 AM PST",6503168701,Order,113-8152851-3045816,LOVECOFFEEES-BLK,"El amor y el café inspried Cita de decoración de la pared Decal [NEGRO] - 12inches x 24 pulgadas - Vinilo adhesivo brillante [3mil] Fácil aplicación,",1,amazon.com,Amazon,BOLINGBROOK,IL,60440-1940,16,0,0,0,0,0,-2.4,-2.88,0,0,10.72
"Nov 20, 2017 12:49:09 AM PST",6503168701,Order,112-6388150-1484204,JB-ADFI-9DMC,"Cheshire Cat Alice In Wonderland Inspired We're All Mad Here Quote Vinyl Wall Decal [BLACK] by GMDdecals Size 30"" x 12"" Hatter Storybook Décor",1,amazon.com,Amazon,COLUMBIA,MD,21045-2878,18,0,0,0,0,0,-2.7,-2.88,0,0,12.42
"Nov 20, 2017 2:56:32 AM PST",6503168701,Order,112-9833709-8730658,RZ-0CIF-6XJD,Wizard of Oz Assorted Quotes Set [BLACK] Vinyl Stairs or Wall Decal by GMDdecals Dorothy Baum Room Party Housewarming Gift Home Decor,1,amazon.com,Amazon,RALEIGH,NC,27616-7729,38,0,0,0,0,0,-5.7,-2.88,0,0,29.42
"Nov 20, 2017 3:00:08 AM PST",6503168701,Order,113-0242482-6425012,LTDKSIRIUS-SIL,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [SILVER] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,NORTH MANKATO,MN,56003-3643,18,6.56,0,0,0,0,-2.7,-9.44,0,0,12.42
"Nov 20, 2017 3:10:08 AM PST",6503168701,Order,111-0984857-3585817,LOVECOFFEEES-BLK,"El amor y el café inspried Cita de decoración de la pared Decal [NEGRO] - 12inches x 24 pulgadas - Vinilo adhesivo brillante [3mil] Fácil aplicación,",1,amazon.com,Amazon,CREST HILL,ILLINOIS,60403-0959,16,0,0,0,0,0,-2.4,-2.88,0,0,10.72
"Nov 20, 2017 3:14:06 AM PST",6503168701,Order,114-5778981-7161004,DRSQUOTES-BLK,"Dr Seuss Inspired Quote Assorted Set Vinyl Stair or Wall Decal [BLACK] by GMDdecals 24"" wide by 2-4"" tall per quote Lorax Cat in the Hat Storybook Dec",1,amazon.com,Amazon,Nutley,NJ,7110,38,0,0,0,0,0,-5.7,-2.88,0,0,29.42
"Nov 20, 2017 7:27:45 AM PST",6505001751,Order,112-9641072-7881031,DRWHOSET-WHT,"DW Quote Set [WHITE] Large Vinyl Wall Stairs Decal by GMDdecals ONEliners Collection 24"" x 2-4"" EACH QUOTE Dr Doctor Inspired Who Décor",1,amazon.com,Amazon,Ephrata,PA,17522,38,0,0,0,0,0,-5.7,-2.88,0,0,29.42
"Nov 20, 2017 8:46:02 AM PST",6505001751,Order,111-5663606-8433850,WIZOZSET-WHT,Wizard of Oz Assorted Quotes Set [WHITE] Vinyl Stairs or Wall Decal by GMDdecals Dorothy Baum Room Party Housewarming Gift Home Decor,1,amazon.com,Amazon,BOONE,IA,50036-3615,38,4.99,0,-4.99,0,0,-5.7,-2.88,0,0,29.42
"Nov 20, 2017 8:54:00 AM PST",6505001751,Order,111-0219569-3611421,SIXFANCY-BLKTUR,"Alice In Wonderland Six Impossible Things Before Breakfast FANCY Vinyl Wall Decal [Black & Turquoise] by GMDdecals 22"" x 10"" Cheshire Quote Mad Hatter",1,amazon.com,Amazon,COLORADO SPRINGS,CO,80925-9472,16,0,0,0,0,0,-1.92,-2.88,0,0,11.2
"Nov 20, 2017 9:07:23 AM PST",6505001751,Order,112-9267962-1875461,LTDKSIRIUS-WHT,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [WHITE] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,ROCKY POINT,NC,28457-9212,20,0,3.99,0,0,0,-3,-6.87,0,0,14.12
"Nov 20, 2017 10:44:48 AM PST",6505001751,Order,114-3074135-6123432,DMBLDR-BLK,"GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,amazon.com,Amazon,PUEBLO WEST,CO,81007-1902,18,0,0,0,0,0,-2.7,-2.88,0,0,12.42
"Nov 20, 2017 10:53:24 AM PST",6505001751,Order,112-0842622-6023426,UNLESS-WHT,"UNLESS Dr Seuss Inspired Quote Vinyl Wall Decal [WHITE] by GMDdecals Lorax Truffula Trees Design 28"" x 12"" Children Bedroom Cat in the Hat Nursery Dec",1,amazon.com,Amazon,Mississauga,Ontario,L5J 1R2,16,7.03,0,0,0,0,-2.4,-9.91,0,0,10.72
"Nov 20, 2017 1:42:43 PM PST",6505001751,Order,113-0180693-2798624,LTDKSIRIUS-TUR,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [TURQUOISE] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storyb",1,amazon.com,Amazon,APO,AE,09012-0082,18,0,0,0,0,0,-2.7,-2.88,0,0,12.42
"Nov 20, 2017 2:14:25 PM PST",6505001751,Order,113-4013920-3398622,LTDKSIRIUS-PUR,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [PURPLE] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,SYLMAR,CA,91342-4653,20,0,0,0,0,0,-3,-2.88,0,0,14.12
"Nov 20, 2017 2:43:00 PM PST",6505001751,Order,113-4440605-5289005,LevioSA-BLK,"Hermione Harry Potter Inspired LevioSA Spell Hogwarts Quote Vinyl Wall Decal [BLACK] by GMDdecals 28"" x 12"" Hogwarts Spell Wizard Storybook Decor",1,amazon.com,Amazon,Franklin Lakes,NJ,7417,18,0,0,0,0,0,-2.7,-2.88,0,0,12.42
"Nov 20, 2017 3:43:42 PM PST",6505001751,Order,113-0554540-6030608,DMBLDR-BLK,"GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,amazon.com,Amazon,PORT JEFFERSON STATION,NY,11776-1327,18,0.45,0,-0.45,0,0,-2.7,-2.88,0,0,12.42
"Nov 20, 2017 6:06:17 PM PST",6505001751,Order,113-0593610-0197059,LTDKSIRIUS-TUR,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [TURQUOISE] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storyb",1,amazon.com,Amazon,Apine,Wyoming,83128,18,0,0,0,0,0,-2.7,-2.88,0,0,12.42
"Nov 20, 2017 6:55:53 PM PST",6505001751,Order,112-6388150-1484204,ALICEQUOTES-SILPUR,"Alice In Wonderland Story Book Quote Set Vinyl Stair or Wall Decals [PURPLE/SILVER] by GMDdecals 24"" x 2-4"" per quote Cheshire Mad Hatter Storybook Dé",1,amazon.com,Amazon,COLUMBIA,MD,21045-2878,38,0,0,0,0,0,-5.7,-3.96,0,0,28.34
"Nov 20, 2017 7:51:23 PM PST",6505001751,Order,114-3180340-2314608,DMBLDR-BLK,"GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,amazon.com,Amazon,SUDBURY,MA,01776-1242,18,0,0,0,0,0,-2.7,-2.88,0,0,12.42
"Nov 20, 2017 8:18:35 PM PST",6505001751,Order,111-2444139-4072239,PI-6U0R-KV33,GMDdecals Love and Coffee Inspired Quote Décor Wall Decal [BLACK]- 12 Inches x 24 Inches,1,amazon.com,Amazon,CAMILLUS,NY,13031-2002,16,0,0,0,0,0,-2.4,-2.88,0,0,10.72
"Nov 20, 2017 9:00:28 PM PST",6505001751,Order,111-9592692-2499404,LTDKSIRIUS-WHT,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [WHITE] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,HOWELL,MI,48843-8568,20,0,0,0,0,0,-3,-2.88,0,0,14.12
