date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,sales tax collected,Marketplace Facilitator Tax,selling fees,fba fees,other transaction fees,other,total
"Oct 12, 2017 6:40:28 PM PDT",6472325401,Order,113-8899554-0481857,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,OLYMPIA,WA,98512-9369,20,0,0,0,0,0,-3,-2.88,0,0,14.12
"Oct 13, 2017 2:21:31 AM PDT",6472325401,Order,113-7956044-4097831,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,FAIRPORT,NY,14450-1724,20,0,0,0,0,0,-3,-2.88,0,0,14.12
"Oct 13, 2017 3:05:32 AM PDT",6472325401,Order,112-7445351-3782644,HPSPELLS3-BLK,ONEliners Collection by GMDdecals - Potter Wizard Spells Quote DOUBLE SET [BLACK] Harry Dumbledore Fantastic,1,amazon.com,Amazon,BALLWIN,MO,63021-8078,60,0,0,0,0,0,-9,-2.88,0,0,48.12
"Oct 13, 2017 11:50:37 AM PDT",6472325401,FBA Inventory Fee,,,FBA Amazon-Partnered Carrier Shipment Fee,,Amazon.com,,,,,0,0,0,0,0,0,0,0,0,-8.76,-8.76
"Oct 13, 2017 2:17:06 PM PDT",6472325401,Order,113-3469233-1083401,DMBLDR-BLK,"GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,amazon.com,Amazon,Albuquerque,NM,87110,20,0,0,0,0,0,-3,-2.88,0,0,14.12
"Oct 13, 2017 5:12:14 PM PDT",6472325401,Order,111-6309621-9021065,LOVECOFFEEES-BLK,"El amor y el café inspried Cita de decoración de la pared Decal [NEGRO] - 12inches x 24 pulgadas - Vinilo adhesivo brillante [3mil] Fácil aplicación,",1,amazon.com,Amazon,NEW YORK,NY,10033-3521,12,6.5,0,0,0,0,-1.8,-9.38,0,0,7.32
"Oct 13, 2017 7:18:45 PM PDT",6472325401,Order,113-1304393-5811428,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,MURRIETA,CA,92562-2509,20,0,0,0,0,0,-3,-2.88,0,0,14.12
"Oct 13, 2017 7:35:18 PM PDT",6472325401,Order,112-2298361-2190653,DRWHOBOOKS-BLK,"DW Inspired Books are Weapons Quote [BLACK] Vinyl Wall Decal by GMDdecals 30"" x 12"" Dr Doctor inspirational Who Fandom Library Reading Gift Decor",1,amazon.com,Amazon,NEW YORK,NY,10019-2244,18,0,0,0,0,0,-2.7,-2.88,0,0,12.42
"Oct 13, 2017 8:36:10 PM PDT",6472325401,Order,114-4528365-3981813,PI-6U0R-KV33,GMDdecals Love and Coffee Inspired Quote Décor Wall Decal [BLACK]- 12 Inches x 24 Inches,1,amazon.com,Seller,MILWAUKEE,WI,53207-3431,16,0,0,0,0,0,-2.4,0,0,0,13.6
"Oct 13, 2017 8:36:13 PM PDT",6472325401,Order,111-7388985-0414620,04-GCPW-17YG,Happy Fall Y'all LARGE Vinyl Wall Decal for Autumn or Thanksgiving Holiday Decoration Décor Sticker Seasonal,1,amazon.com,Seller,ARLINGTON,WA,98223-8744,16,0,0,0,0,0,-2.4,0,0,0,13.6
