date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,sales tax collected,selling fees,fba fees,other transaction fees,other,total
"Feb 1, 2017 11:29:46 PM PST",6283320351,Order,115-9632868-0672268,BQ-X7JH-BJSL,Movie Quote Set LARGE Assorted Sayings Vinyl Stairs or Wall Decal [BLACK] Film Cinema Classic Famous Inspiring Home Décor Welcome Housewarming Wedding,1,amazon.com,Amazon,OROVILLE,CA,95966-5138,24.99,0,0,0,0,-3.75,-3.02,0,0,18.22
"Feb 1, 2017 11:56:11 PM PST",6283320351,Order,113-5606427-9614616,0Z-0D15-Y80E,Dr Seuss Truffula Trees Assorted Set Vinyl Wall Decal Children Bedroom Nursery Décor Storybook Gift,1,amazon.com,Amazon,Fort Worth,TX,76133-6603,32.99,0,0,0,0,-4.95,-3.02,0,0,25.02
"Feb 2, 2017 1:52:38 AM PST",6283320351,Order,112-5591392-1741832,LOVECOFFEE-MAR,"GMDdecals® Love and Coffee Inspired Quote Décor Wall Decal [MAROON] - 12"" x 24"" - Adhesive High Glossy Vinyl [3mil] **Made In USA** (Home Welcome Hous",1,amazon.com,Amazon,NEWARK,NJ,07104-3636,14.99,0,0,0,0,-2.25,-3.02,0,0,9.72
"Feb 2, 2017 3:32:51 AM PST",6283320351,Order,103-7100267-8371442,DMBLDR-BLK,"GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,amazon.com,Amazon,TUKWILA,WA,98168-3046,12.99,6.54,0,0,0,-1.95,-9.56,0,0,8.02
"Feb 2, 2017 8:25:58 AM PST",6283320351,Order,002-2938400-6988206,ALICEQUOTES-SILPUR,"GMDdecals Alice In Wonderland Story Book Quote Set Vinyl Stair Decals or Wall Quote Decor Decals [GLOSSY PURPLE/SILVER]- 24"" x 2-4"" per quote -Adhesiv",1,amazon.com,Amazon,SPRINGFIELD,OHIO,45502-8608,24.99,0,0,0,0,-3.75,-3.02,0,0,18.22
"Feb 2, 2017 9:45:54 AM PST",6283320351,Order,115-8823918-6317039,0Z-0D15-Y80E,Dr Seuss Truffula Trees Assorted Set Vinyl Wall Decal Children Bedroom Nursery Décor Storybook Gift,1,amazon.com,Amazon,MIDDLESBORO,KY,40965-2614,32.99,0,0,0,0,-4.95,-3.02,0,0,25.02
"Feb 2, 2017 9:55:31 AM PST",6283320351,Refund,115-9408294-6991464,SRNTYWIDE-BLK,Serenity Prayer Wide Bible Scripture Quote Vinyl Wall Decal [Black] Bible Scripture Home Décor Welcome Housewarming Wedding Anniversary Birthday Gift,1,amazon.com,Amazon,WACO,TX,76705-1330,-16.99,0,0,0,0,2.04,0,0,0,-14.95
"Feb 2, 2017 1:39:42 PM PST",6283320351,Order,110-6808384-9485845,PI-6U0R-KV33,GMDdecals Love and Coffee Inspired Quote Décor Wall Decal [BLACK]- 12 Inches x 24 Inches - Adhesive High Glossy Vinyl [3mil]Made In USA (Suggested: Ho,1,amazon.com,Amazon,Chicago,IL,60638-5413,16.99,0,0,0,0,-2.55,-3.02,0,0,11.42
"Feb 2, 2017 5:02:28 PM PST",6283320351,Order,106-9999800-9998650,NONSENSE-BLK,GMDdecals® Nonsense Alice In Wonderland Quote Decor Wall Decal [GLOSSY BLACK]- 36 inches x 12 inches -Adhesive High Glossy Vinyl [3mil] **Made In USA*,1,amazon.com,Amazon,TRUSSVILLE,AL,35173-2607,20.99,0,0,0,0,-3.15,-2.56,0,0,15.28
"Feb 2, 2017 5:49:36 PM PST",6283320351,Order,109-1894552-2012257,DMBLDR-BLK,"GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,amazon.com,Amazon,RANCHO CORDOVA,CA,95670,12.99,0,0,0,0,-1.95,-3.02,0,0,8.02
"Feb 2, 2017 6:14:14 PM PST",6283320351,Order,104-3558042-0148265,PI-6U0R-KV33,GMDdecals Love and Coffee Inspired Quote Décor Wall Decal [BLACK]- 12 Inches x 24 Inches - Adhesive High Glossy Vinyl [3mil]Made In USA (Suggested: Ho,1,amazon.com,Amazon,MAYNARD,MA,01754-1215,16.99,0,0,0,0,-2.55,-3.02,0,0,11.42
"Feb 2, 2017 7:00:34 PM PST",6283320351,Order,105-7867108-0093008,DRK10SH,"12 Inch X 12 Inch Glossy Vinyl Sheet(s) (10 Sheet, Dark Red) for Vinyl Decals Craft Die Cutter Machine Plotter",1,amazon.com,Amazon,Greensboro,NC,27405,13.99,0,0,0,0,-2.1,-2.56,0,0,9.33
"Feb 2, 2017 8:59:09 PM PST",6283320351,Order,002-4014184-5169833,DMBLDR-BLK,"GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,amazon.com,Amazon,BELLEVUE,WA,98006-1867,12.99,0,0,0,0,-1.95,-3.02,0,0,8.02
"Feb 2, 2017 9:09:00 PM PST",6283320351,Order,112-3346690-2150613,DMBLDR-BLK,"GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,amazon.com,Amazon,CHARLOTTE,NC,28277-1996,12.99,0,0,0,0,-1.95,-3.02,0,0,8.02
"Feb 2, 2017 9:34:52 PM PST",6283320351,Order,111-1507639-5177865,96-3YGZ-59C7,"GMDdecals Harry Potter Ministry of Magic Bathroom Toilet Vinyl Wall Decor Decals [GLOSSY BLACK/GOLD]- 10"" x 11""-Adhesive High Glossy Vinyl [3mil]Made",1,amazon.com,Amazon,OCEANSIDE,CA,92056-3401,12.99,0,0,0,0,-1.95,-2.56,0,0,8.48
