date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,sales tax collected,selling fees,fba fees,other transaction fees,other,total
"Aug 19, 2017 6:18:29 AM PDT",6429182641,Order,114-2162123-0749060,LTDKSIRIUS-BLK,"Sirius Black Harry Potter Inspired We've All Got Light and Dark Quote Vinyl Wall Decal [BLACK] by GMDdecals 24"" x 15"" Hogwarts Spell Wizard Storybook",1,amazon.com,Amazon,ROCHESTER,NY,14612-4753,18,0,0,0,0,-2.7,-2.99,0,0,12.31
"Aug 19, 2017 8:28:24 AM PDT",6429182641,Order,111-9464762-9606605,DRSQUOTES-MIX2,"Dr Seuss Assorted Quote Set Vinyl Stair or Wall Decal [BLACK/AQUA/RED/WHITE] by GMDdecals 24"" wide by 2-4"" tall per quote Lorax Cat in the Hat Storybo",1,amazon.com,Amazon,FORT WORTH,TX,76120-3325,32,0,0,0,0,-4.8,-2.99,0,0,24.21
"Aug 19, 2017 8:41:53 AM PDT",6429182641,Order,112-3937599-0997833,CW-VCHI-UFL6,"Alice In Wonderland Six Impossible Things Before Breakfast FUNKY Vinyl Wall Decal [Purple & White] by GMDdecals 22"" x 10"" Cheshire Quote Mad Hatter St",1,amazon.com,Seller,BOONEVILLE,AR,72927-6908,16,0,0,0,0,-2.4,0,0,0,13.6
"Aug 19, 2017 8:41:53 AM PDT",6429182641,Order,114-0589156-9279465,HPMM-GRYBLU,"Ministry of Magic Harry Potter Inspired Bathroom Toilet Vinyl Wall Decals [GREY/BLUE] by GMDdecals 10"" x 11"" Hogwarts Spell Wizard Storybook Décor",1,amazon.com,Seller,WICHITA,KS,67226-3221,10,0,0,0,0,-1.5,0,0,0,8.5
"Aug 19, 2017 8:41:53 AM PDT",6429182641,Order,111-5704623-0041031,FUNKYBBONKERS-WHT,"GMDdecals FUNKERBONKERS-WHT Wall Decor Stickers, Funky you Know your Bonkers Alice, Glossy White",1,amazon.com,Seller,KNOXVILLE,TN,37923-6237,16,0,0,0,0,-2.4,0,0,0,13.6
"Aug 19, 2017 8:41:53 AM PDT",6429182641,Order,113-1465932-2864240,STARWARS-BLK,Star Wars Inspired LARGE [BLACK] Quote Set Vinyl Wall or Stairs Decal by GMDdecals Force Jedi Emperor Strikes Phantom Clone Home Decor,1,amazon.com,Seller,SAN DIEGO,CA,92126-5590,32,0,0,0,0,-4.8,0,0,0,27.2
"Aug 19, 2017 8:41:53 AM PDT",6429182641,Order,111-2073651-6054664,LOVEANCHOR-BLKNVY,Love Is the Anchor Quote Vinyl Wall Decal [Black & Navy] Inspiring Home Décor Welcome Housewarming Wedding Anniversary Birthday Gift,1,amazon.com,Seller,RIVERSIDE,CA,92504-3020,16,0,0,0,0,-2.4,0,0,0,13.6
"Aug 19, 2017 8:41:56 AM PDT",6429182641,Order,112-2542214-8945839,SRNTYWIDE-BLK,Serenity Prayer Wide Bible Scripture Quote Vinyl Wall Decal [Black] Bible Scripture Home Décor Welcome Housewarming Wedding Anniversary Birthday Gift,1,amazon.com,Seller,LITHONIA,GA,30058-8331,16,0,0,0,0,-2.4,0,0,0,13.6
"Aug 19, 2017 8:41:56 AM PDT",6429182641,Order,112-2771247-3249054,BLRNASET-WHT,Ballerina Dance Ballet Set [WHITE] Vinyl Wall Decal Set of Three by GMDdecals Theatre Pointe Girls Room Birthday Gift Home Décor,1,amazon.com,Seller,CONCORD,CA,94520-5526,28,0,0,0,0,-4.2,0,0,0,23.8
"Aug 19, 2017 8:41:56 AM PDT",6429182641,Order,114-3551170-9733826,LOVEANCHOR-BLKNVY,Love Is the Anchor Quote Vinyl Wall Decal [Black & Navy] Inspiring Home Décor Welcome Housewarming Wedding Anniversary Birthday Gift,1,amazon.com,Seller,COPPERAS COVE,TX,76522-1916,16,0,0,0,0,-2.4,0,0,0,13.6
"Aug 19, 2017 8:41:56 AM PDT",6429182641,Order,111-2470784-6169056,9K-VBPS-C0G0,"GMDdecals BONKERSFUNKYBLK Alice in Wonderland Quote Adhesive, Glossy Black",1,amazon.com,Seller,PITTSBURGH,PA,15227-2367,18,0,0,0,0,-2.7,0,0,0,15.3
"Aug 19, 2017 8:41:56 AM PDT",6429182641,Order,112-5287800-0745017,DRSQUOTES-BLK,"Dr Seuss Inspired Quote Assorted Set Vinyl Stair or Wall Decal [BLACK] by GMDdecals 24"" wide by 2-4"" tall per quote Lorax Cat in the Hat Storybook Dec",2,amazon.com,Seller,GREER,SC,29651-7543,64,0,0,0,0,-9.6,0,0,0,54.4
"Aug 19, 2017 8:41:56 AM PDT",6429182641,Order,111-1883571-0143451,C0-LVMK-Y8ST,"UNLESS Dr Seuss Inspired Quote Vinyl Wall Decal [BLACK] by GMDdecals Lorax Truffula Trees Design 28"" x 12"" Children Bedroom Cat in the Hat Nursery Dec",1,amazon.com,Seller,PORT HURON,MI,48060-8127,16,0,0,0,0,-2.4,0,0,0,13.6
"Aug 19, 2017 8:41:59 AM PDT",6429182641,Order,114-4008685-9093849,FAITHPOS-BLK,GMDdecals Anything is Possible Faith Luke Bible Scripture Quote Vinyl Wall Decor Decals [GLOSSY BLACK]- 36 inches x 12 inches -Adhesive High Glossy Vi,1,amazon.com,Seller,ALBANY,NY,12222-0100,16,7.5,0,0,0,-3.53,0,0,0,19.97
"Aug 19, 2017 8:41:59 AM PDT",6429182641,Order,112-3900428-8816244,DMBLDR-BLK,"GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,amazon.com,Seller,RAVENSDALE,WA,98051-9585,18,7.5,0,0,0,-3.83,0,0,0,21.67
"Aug 19, 2017 8:41:59 AM PDT",6429182641,Order,114-6284774-8766607,UNLESS-BRN,"UNLESS Dr Seuss Inspired Quote Vinyl Wall Decal [BROWN] by GMDdecals Lorax Truffula Trees Design 28"" x 12"" Children Bedroom Cat in the Hat Nursery Dec",1,amazon.com,Seller,MANSFIELD,TX,76063-3534,16,0,0,0,0,-2.4,0,0,0,13.6
"Aug 19, 2017 8:42:00 AM PDT",6429182641,Order,111-8660212-8441062,DMBLDR-BLK,"GMDdecals Inspirational Wizard Potter Dumbledore Quote Vinyl Wall Decor Decal, ""It's Our Choices That Show Who We Really Are"", Glossy Black",1,amazon.com,Seller,Chapel Hill,NC,27517,18,0,0,0,0,-2.7,0,0,0,15.3
